line_no,word,pos,cefr,n_senses,group_size,group_classification,action
1409,swing,"noun, verb",C1,3,2,PAGINATION,keep
2743,swing,"noun, verb",C1,1,2,PAGINATION,delete
1412,syndrome,noun,C1,1,2,PAGINATION,keep
2738,syndrome,noun,C1,1,2,PAGINATION,delete
1414,tackle,noun,C1,1,3,PAGINATION,keep
2741,tackle,noun,C1,2,3,PAGINATION,delete
2742,tackle,noun,C1,1,3,PAGINATION,delete
1421,tenure,noun,C1,2,2,PAGINATION,keep
2739,tenure,noun,C1,1,2,PAGINATION,delete
1422,terminal,adjective,C1,3,2,PAGINATION,keep
2744,terminal,adjective,C1,1,2,PAGINATION,delete
1423,terminate,verb,C1,1,2,PAGINATION,keep
2740,terminate,verb,C1,1,2,PAGINATION,delete
1441,timber,noun,C1,3,2,PAGINATION,keep
2745,timber,noun,C1,1,2,PAGINATION,delete
1445,toll,noun,C1,3,2,PAGINATION,keep
2746,toll,noun,C1,1,2,PAGINATION,delete
1450,trace,noun,C1,2,2,PAGINATION,keep
2749,trace,noun,C1,3,2,PAGINATION,delete
1455,transcript,noun,C1,1,2,PAGINATION,keep
2747,transcript,noun,C1,1,2,PAGINATION,delete
1460,trauma,noun,C1,2,2,PAGINATION,keep
2748,trauma,noun,C1,1,2,PAGINATION,delete
1466,trio,noun,C1,2,2,PAGINATION,keep
2750,trio,noun,C1,1,2,PAGINATION,delete
1483,utility,noun,C1,2,2,PAGINATION,keep
2752,utility,noun,C1,1,2,PAGINATION,delete
1494,verse,noun,C1,3,2,PAGINATION,keep
2753,verse,noun,C1,1,2,PAGINATION,delete
1510,warrior,noun,C1,1,2,PAGINATION,keep
2754,warrior,noun,C1,1,2,PAGINATION,delete
1513,weed,noun,C1,3,2,PAGINATION,keep
2755,weed,noun,C1,2,2,PAGINATION,delete
1518,whip,verb,C1,3,2,PAGINATION,keep
2756,whip,verb,C1,1,2,PAGINATION,delete
1525,wit,noun,C1,3,2,PAGINATION,keep
2757,wit,noun,C1,1,2,PAGINATION,delete
1532,ward,noun,C1,2,2,PAGINATION,keep
2758,ward,noun,C1,1,2,PAGINATION,delete
1541,circuit,noun,B2,3,2,PAGINATION,keep
2760,circuit,noun,B2,1,2,PAGINATION,delete
1544,colony,noun,B2,3,2,PAGINATION,keep
2759,colony,noun,B2,1,2,PAGINATION,delete
1545,cue,noun,B2,3,2,PAGINATION,keep
2761,cue,noun,B2,1,2,PAGINATION,delete
1546,critically,adverb,B2,3,2,PAGINATION,keep
2763,critically,adverb,B2,1,2,PAGINATION,delete
1548,differ,verb,B2,3,2,PAGINATION,keep
2764,differ,verb,B2,1,2,PAGINATION,delete
1550,dot,noun,B2,3,2,PAGINATION,keep
2762,dot,noun,B2,1,2,PAGINATION,delete
1552,dull,adjective,B2,3,2,PAGINATION,keep
2765,dull,adjective,B2,3,2,PAGINATION,delete
1555,fond,adjective,B2,3,2,PAGINATION,keep
2767,fond,adjective,B2,2,2,PAGINATION,delete
1556,furious,adjective,B2,1,2,PAGINATION,keep
2766,furious,adjective,B2,1,2,PAGINATION,delete
1558,incentive,noun,B2,1,2,PAGINATION,keep
2769,incentive,noun,B2,1,2,PAGINATION,delete
1559,implication,noun,B2,2,2,PAGINATION,keep
2768,implication,noun,B2,1,2,PAGINATION,delete
1565,stall,noun,B2,3,2,PAGINATION,keep
2770,stall,noun,B2,2,2,PAGINATION,delete
1567,parade,noun,B2,3,2,PAGINATION,keep
2771,parade,noun,B2,1,2,PAGINATION,delete
1568,offender,noun,B2,1,2,PAGINATION,keep
2772,offender,noun,B2,1,2,PAGINATION,delete
1569,reckon,verb,B2,3,2,PAGINATION,keep
1639,reckon,verb,B2,1,2,PAGINATION,delete
1571,prompt,verb,B2,1,3,PAGINATION,keep
2773,prompt,verb,B2,1,3,PAGINATION,delete
2774,prompt,verb,B2,1,3,PAGINATION,delete
1575,choir,noun,B2,2,2,PAGINATION,keep
2775,choir,noun,B2,1,2,PAGINATION,delete
1576,commander,noun,B2,1,3,PAGINATION,keep
2776,commander,noun,B2,1,3,PAGINATION,delete
2777,commander,noun,B2,1,3,PAGINATION,delete
1582,approximate,verb,UNCLASSIFIED,2,2,PAGINATION,keep
1629,approximate,adjective,UNCLASSIFIED,1,2,PAGINATION,delete
1616,orient,verb,UNCLASSIFIED,3,2,MIXED,keep
1617,orient,verb,UNCLASSIFIED,1,2,MIXED,delete
1630,bat,noun,B2,3,2,PAGINATION,keep
